time,high,low,open,volumefrom,volumeto,close
2014-12-02,1.896,1.789,1.779,0.0,0.0,1.896
2014-12-03,1.885,1.772,1.896,0.0,0.0,1.877
2014-12-04,2.034,1.664,1.877,0.0,0.0,1.664
2014-12-05,1.775,1.699,1.664,0.0,0.0,1.699
2014-12-06,1.765,1.505,1.699,0.0,0.0,1.577
2014-12-07,1.845,1.506,1.577,0.0,0.0,1.841
2014-12-08,1.825,1.496,1.841,0.0,0.0,1.622
2014-12-09,1.707,1.444,1.622,0.0,0.0,1.707
2014-12-10,1.686,1.427,1.707,0.0,0.0,1.427
2014-12-11,1.425,1.408,1.427,0.0,0.0,1.408
2014-12-12,1.643,1.431,1.408,0.0,0.0,1.47
2014-12-13,1.56,1.448,1.47,0.0,0.0,1.448
2014-12-14,1.453,1.366,1.448,0.0,0.0,1.366
2014-12-15,1.54,1.35,1.366,0.0,0.0,1.35
2014-12-16,1.291,1.291,1.35,0.0,0.0,1.291
2014-12-17,1.408,1.012,1.291,0.0,0.0,1.382
2014-12-18,1.341,0.9813,1.382,0.0,0.0,1.341
2014-12-19,1.373,1.005,1.341,0.0,0.0,1.271
2014-12-20,1.321,1.045,1.271,0.0,0.0,1.321
2014-12-21,1.291,1.023,1.321,0.0,0.0,1.291
2014-12-22,1.429,1.049,1.291,0.0,0.0,1.075
2014-12-23,1.307,1.06,1.075,0.0,0.0,1.06
2014-12-24,1.241,1.019,1.06,0.0,0.0,1.019
2014-12-25,1.244,1.009,1.019,0.0,0.0,1.244
2014-12-26,1.287,1.043,1.244,0.0,0.0,1.043
2014-12-27,1.23,0.9971,1.043,0.0,0.0,0.9971
2014-12-28,1.231,1.001,0.9971,0.0,0.0,1.064
2014-12-29,1.087,0.9424,1.064,0.0,0.0,1.087
2014-12-30,1.18,0.9494,1.087,0.0,0.0,0.9556
2014-12-31,1.206,0.977,0.9556,0.0,0.0,0.977
2015-01-01,1.194,0.9667,0.977,0.0,0.0,1.193
2015-01-02,1.195,0.788,1.193,0.0,0.0,0.788
2015-01-03,0.8815,0.7178,0.788,0.0,0.0,0.8614
2015-01-04,0.8259,0.6618,0.8614,0.0,0.0,0.7439
2015-01-05,0.9867,0.7421,0.7439,0.0,0.0,0.7696
2015-01-06,1.013,0.7904,0.7696,0.0,0.0,0.7904
2015-01-07,0.8536,0.8158,0.7904,0.0,0.0,0.8163
2015-01-08,0.8532,0.7067,0.8163,0.0,0.0,0.7927
2015-01-09,0.9791,0.8072,0.7927,0.0,0.0,0.8072
2015-01-10,0.9291,0.5467,0.8072,0.0,0.0,0.9291
2015-01-11,0.9,0.5295,0.9291,0.0,0.0,0.7422
2015-01-12,0.9155,0.5387,0.7422,0.0,0.0,0.7549
2015-01-13,0.6203,0.4426,0.7549,0.0,0.0,0.6203
2015-01-14,0.5172,0.3419,0.6203,0.0,0.0,0.5172
2015-01-15,0.6629,0.5882,0.5172,0.0,0.0,0.5882
2015-01-16,0.6539,0.4414,0.5882,0.0,0.0,0.5918
2015-01-17,0.6307,0.5596,0.5918,0.0,0.0,0.5596
2015-01-18,0.6689,0.5904,0.5596,0.0,0.0,0.6689
2015-01-19,0.6856,0.6055,0.6689,0.0,0.0,0.6055
2015-01-20,0.639,0.5906,0.6055,0.0,0.0,0.5975
2015-01-21,0.7247,0.6412,0.5975,0.0,0.0,0.7247
2015-01-22,0.7391,0.569,0.7247,0.0,0.0,0.569
2015-01-23,0.6508,0.5677,0.569,0.0,0.0,0.6498
2015-01-24,0.8256,0.6946,0.6498,0.0,0.0,0.8256
2015-01-25,0.8571,0.7328,0.8256,0.0,0.0,0.7331
