time,close,high,low,open,volumefrom,volumeto
1/2/2013,13.28,13.4,13.16,13.3,17966.81,239156.18
1/3/2013,13.4,13.46,13.25,13.28,18032.25,240845.86
1/4/2013,13.5,13.52,13.27,13.4,29641.92,397884.35
1/5/2013,13.44,13.55,13.31,13.5,21329.93,286932.51
1/6/2013,13.45,13.52,13.36,13.44,12741.13,171497.01
1/7/2013,13.59,13.59,13.4,13.45,25477.72,344083.33
1/8/2013,13.74,13.88,13.5,13.59,42798.37,587223.86
1/9/2013,13.77,13.86,13.62,13.74,28606.38,393192.24
1/10/2013,14.14,14.32,13.77,13.77,51811.03,727790.48
1/11/2013,14.14,14.35,13.91,14.14,40434.54,570677.27
1/12/2013,14.24,14.34,13.98,14.14,26931.84,381546.96
1/13/2013,14.12,14.31,13.95,14.24,38330.15,540759.58
1/14/2013,14.3,14.35,14.11,14.12,22096.95,315016.66
1/15/2013,14.25,14.48,13.99,14.3,51573.23,732428.4
1/16/2013,14.73,14.73,14.21,14.25,45532.49,660929.7
1/17/2013,15.5,15.7,14.63,14.73,65489.44,993185.63
1/18/2013,15.7,15.99,15.41,15.5,56097.55,879655.99
1/19/2013,15.62,15.77,15.25,15.7,34588.82,534667.03
1/20/2013,15.7,15.89,15.51,15.62,25982.13,408455.8
1/21/2013,16.8,16.98,15.63,15.7,61502.1,1007686.44
1/22/2013,17.26,17.59,16.65,16.8,60975.24,1045898.98
1/23/2013,17.5,17.59,16.8,17.26,49439.37,851188.37
1/24/2013,16.9,19.19,15.61,17.5,172009.1,3053222.09
1/25/2013,17.4,17.8,15.39,16.9,80767.49,1345890.12
1/26/2013,17.88,17.88,16.54,17.4,34810.6,597064.17
1/27/2013,17.82,18,17.21,17.88,23766.82,419571.12
1/28/2013,18.72,18.88,17.75,17.82,57669.44,1057611.3
1/29/2013,19.53,19.8,18.7,18.72,86082.08,1650126.18
1/30/2013,19.7,19.8,19.15,19.53,45064.83,877863.5
1/31/2013,20.41,21.43,19.51,19.7,99226.7,2042238.64
2/1/2013,20.5,21.13,20.3,20.41,49917.48,1034619.16
2/2/2013,19.63,20.5,18,20.5,80501.65,1567325.27
2/3/2013,20.59,20.9,19.42,19.63,34244.3,693849.61
2/4/2013,20.43,21.05,19.86,20.59,52219.14,1066570.21
2/5/2013,20.6,20.79,20.2,20.43,29212.44,600949.67
2/6/2013,21.18,21.33,20.6,20.6,51989.6,1096396.16
2/7/2013,22.15,22.22,20.77,21.18,64263.77,1388465.81
2/8/2013,22.66,22.77,22,22.15,48649.93,1090678.48
2/9/2013,23.65,23.99,22.58,22.66,38133.01,886034.01
2/10/2013,23.97,24.11,22.67,23.65,56426.07,1321513.68
2/11/2013,24.65,24.68,23.65,23.97,29526.73,712458.7
2/12/2013,25.17,25.83,24.3,24.65,74239.93,1862561.32
2/13/2013,24.2,26.3,24.19,25.17,90150.21,2296830.8
2/14/2013,27.22,27.6,21.72,24.2,145734.74,3710262.51
2/15/2013,27.1,27.51,26.1,27.22,51714.15,1396017.97
2/16/2013,27.22,27.5,26.81,27.1,18826.94,511421.92
2/17/2013,26.81,27.4,25,27.22,77042.22,2033614.64
2/18/2013,26.95,27.15,26.36,26.81,29744.27,795866.42
2/19/2013,29.42,29.65,26.8,26.95,99699.25,2810076.61
2/20/2013,29.65,29.87,28.99,29.42,37209.36,1096641.18
2/21/2013,29.75,29.98,29.31,29.65,34730.51,1030860.6
2/22/2013,30.25,31.3,29.67,29.75,66951.69,2039411.78
2/23/2013,29.8,30.69,28,30.25,72278.17,2099763.39
2/24/2013,29.89,30.4,29.2,29.8,24274.89,722940.53
2/25/2013,30.4,30.4,29.55,29.89,26778.95,805270.53
2/26/2013,31.1,31.7,30.12,30.4,42864.33,1329295.41
2/27/2013,30.9,31.65,30.79,31.1,30472.78,951289.24
2/28/2013,33.38,34.52,30.9,30.9,126517.41,4136416.34
3/1/2013,34.5,34.9,32.92,33.38,39786.14,1362290.79
3/2/2013,34.25,34.81,33.15,34.5,36662.49,1241775.93
3/3/2013,34.5,34.5,33.8,34.25,12524.59,427480.57
3/4/2013,36.15,36.7,34.19,34.5,46771.49,1659027.49
3/5/2013,40.33,40.65,36.15,36.15,85425.52,3361374.96
3/6/2013,41.02,49.1,40.14,40.33,126451.72,5712472.93
3/7/2013,42,45.5,33.3,41.02,157316.08,6439707.76
3/8/2013,44.18,44.5,41.02,42,47095.97,2032649.25
3/9/2013,46.85,46.99,43.41,44.18,44475.89,2020839.64
3/10/2013,46,47.95,45.47,46.85,36363.25,1703124.85
3/11/2013,48.4,48.47,45.54,46,41390.18,1970814.35
3/12/2013,44.29,48.4,36.65,48.4,183411.75,8014901.58
3/13/2013,46.92,47.3,43.75,44.29,49514.6,2298258.15
3/14/2013,47.17,47.99,46.05,46.92,37041.72,1752628.5
3/15/2013,46.95,47.45,46.4,47.17,20286.44,954285.65
3/16/2013,47,47.36,46.27,46.95,16314.97,764861.89
3/17/2013,47.4,47.74,46.8,47,13936.62,660618
3/18/2013,51.6,52.88,47.12,47.4,65311.59,3199314.24
3/19/2013,59.14,62,50,51.6,111704.13,6187650.4
3/20/2013,64.49,66,57.7,59.14,93136.82,5776620.57
3/21/2013,70.85,74.9,63.1,64.49,94307.76,6514880.18
3/22/2013,69.87,73.75,65,70.85,73196.96,5171296.14
3/23/2013,64.35,70.5,52.35,69.87,150462.72,9429382.99
