time,close,high,low,open,volumefrom,volumeto
2014-11-22,0.693,0.716,0.682,0.705,5320.82,3775.79
2014-11-23,0.698,0.703,0.674,0.693,7423.3,5134.93
2014-11-24,0.694,0.728,0.68,0.698,61265.52,42764.74
2014-11-25,0.681,0.727,0.677,0.694,23617.44,16636.02
2014-11-26,0.674,0.688,0.674,0.681,18409.11,12497.9
2014-11-27,0.669,0.683,0.668,0.674,15511.85,10415.03
2014-11-28,0.684,0.684,0.661,0.669,14055.71,9364.25
2014-11-29,0.64,0.694,0.608,0.684,104307.62,66442.52
2014-11-30,0.64,0.672,0.637,0.64,36008.34,23224.92
2014-12-01,0.634,0.65,0.631,0.64,43577.11,27970.95
2014-12-02,0.629,0.639,0.614,0.634,3034.89,1921.11
2014-12-03,0.617,0.633,0.617,0.629,557.06,348.0
2014-12-04,0.617,0.617,0.617,0.617,0.0,0.0
2014-12-05,0.617,0.617,0.617,0.617,0.0,0.0
2014-12-06,0.617,0.617,0.617,0.617,0.0,0.0
2014-12-07,0.617,0.617,0.617,0.617,0.0,0.0
2014-12-08,0.617,0.617,0.617,0.617,0.0,0.0
2014-12-09,0.617,0.617,0.617,0.617,0.0,0.0
2014-12-10,0.617,0.617,0.617,0.617,0.0,0.0
2014-12-11,0.617,0.617,0.617,0.617,0.0,0.0
2014-12-12,0.617,0.617,0.617,0.617,0.0,0.0
2014-12-13,0.617,0.617,0.617,0.617,0.0,0.0
2014-12-14,0.617,0.617,0.617,0.617,0.0,0.0
2014-12-15,0.617,0.617,0.617,0.617,0.0,0.0
2014-12-16,0.617,0.617,0.617,0.617,0.0,0.0
2014-12-17,0.617,0.617,0.617,0.617,0.0,0.0
2014-12-18,0.617,0.617,0.617,0.617,0.0,0.0
2014-12-19,0.617,0.617,0.617,0.617,0.0,0.0
2014-12-20,0.617,0.617,0.617,0.617,0.0,0.0
2014-12-21,0.617,0.617,0.617,0.617,0.0,0.0
2014-12-22,0.617,0.617,0.617,0.617,0.0,0.0
2014-12-23,0.617,0.617,0.617,0.617,0.0,0.0
