time,close,high,low,open,volumefrom,volumeto
2014-09-29,1.5,1.5,0.2,0.2,2.118,3.178
2014-09-30,1.5,1.5,1.5,1.5,0.0,0.0
2014-10-01,1.0,1.5,1.0,1.5,2.0,2.0
2014-10-02,0.95,1.0,0.95,1.0,1.0,0.95
2014-10-03,0.95,0.95,0.95,0.95,0.0,0.0
2014-10-04,0.78,0.95,0.78,0.95,12.0,9.36
2014-10-05,0.78,0.78,0.78,0.78,174.5,136.11
2014-10-05,0.78,0.78,0.78,0.78,174.5,136.11
2014-10-06,0.78,0.78,0.78,0.78,0.0,0.0
2014-10-07,0.78,0.78,0.78,0.78,0.0,0.0
2014-10-08,0.78,0.78,0.78,0.78,0.0,0.0
2014-10-09,0.78,0.78,0.78,0.78,0.0,0.0
2014-10-10,0.78,0.78,0.78,0.78,0.0,0.0
2014-10-11,0.78,0.78,0.78,0.78,0.0,0.0
2014-10-12,0.78,0.78,0.78,0.78,0.0,0.0
2014-10-13,0.78,0.78,0.78,0.78,0.0,0.0
2014-10-14,0.78,0.78,0.78,0.78,0.0,0.0
2014-10-15,0.78,0.78,0.78,0.78,0.0,0.0
2014-10-16,0.78,0.78,0.78,0.78,0.0,0.0
2014-10-17,0.78,0.78,0.78,0.78,0.0,0.0
2014-10-18,0.78,0.78,0.78,0.78,0.0,0.0
2014-10-19,0.78,0.78,0.78,0.78,0.0,0.0
2014-10-20,0.78,0.78,0.78,0.78,0.0,0.0
2014-10-21,0.78,0.78,0.78,0.78,0.0,0.0
2014-10-22,0.78,0.78,0.78,0.78,0.0,0.0
2014-10-23,0.78,0.78,0.78,0.78,0.0,0.0
2014-10-24,0.78,0.78,0.78,0.78,0.0,0.0
2014-10-25,0.78,0.78,0.78,0.78,0.0,0.0
2014-10-26,0.78,0.78,0.78,0.78,0.0,0.0
2014-10-27,0.78,0.78,0.78,0.78,0.0,0.0
2014-10-28,0.78,0.78,0.78,0.78,0.0,0.0
2014-10-29,0.78,0.78,0.78,0.78,0.0,0.0
2014-10-30,0.78,0.78,0.78,0.78,0.0,0.0
2014-10-31,0.78,0.78,0.78,0.78,0.0,0.0
2014-11-01,0.78,0.78,0.78,0.78,0.0,0.0
2014-11-02,0.78,0.78,0.78,0.78,0.0,0.0
2014-11-03,0.78,0.78,0.78,0.78,0.0,0.0
2014-11-04,0.78,0.78,0.78,0.78,0.0,0.0
2014-11-05,0.78,0.78,0.78,0.78,0.0,0.0
2014-11-06,0.78,0.78,0.78,0.78,0.0,0.0
2014-11-07,0.78,0.78,0.78,0.78,0.0,0.0
2014-11-08,0.78,0.78,0.78,0.78,0.0,0.0
2014-11-09,0.78,0.78,0.78,0.78,0.0,0.0
2014-11-10,0.78,0.78,0.78,0.78,0.0,0.0
2014-11-11,0.78,0.78,0.78,0.78,0.0,0.0
2014-11-12,0.78,0.78,0.78,0.78,0.0,0.0
2014-11-13,0.78,0.78,0.78,0.78,0.0,0.0
