time,close,high,low,open,volumefrom,volumeto
2013-10-24,3.0,3.0,3.0,3.0,2.707,8.12
2013-10-25,3.0,3.0,3.0,3.0,0.0,0.0
2013-10-26,3.0,3.0,3.0,3.0,0.0,0.0
2013-10-27,3.0,3.0,3.0,3.0,0.0,0.0
2013-10-28,3.0,3.0,3.0,3.0,0.0,0.0
2013-10-29,3.0,3.0,3.0,3.0,0.0,0.0
2013-10-30,3.0,3.0,3.0,3.0,0.0,0.0
2013-10-31,3.0,3.0,3.0,3.0,0.0,0.0
2013-11-01,3.0,3.0,3.0,3.0,0.0,0.0
2013-11-02,3.0,3.0,3.0,3.0,0.0,0.0
2013-11-03,3.0,3.0,3.0,3.0,0.0,0.0
2013-11-04,3.0,3.0,3.0,3.0,7.27,21.81
2013-11-05,3.0,3.0,3.0,3.0,0.0,0.0
2013-11-06,3.0,3.0,3.0,3.0,0.0,0.0
2013-11-07,3.2,3.2,3.0,3.0,9.001,28.8
2013-11-08,3.2,3.2,3.2,3.2,0.8219,2.63
2013-11-09,3.2,3.2,3.2,3.2,0.0,0.0
2013-11-10,3.2,3.2,3.2,3.2,0.0,0.0
2013-11-11,3.2,3.2,3.2,3.2,0.0,0.0
2013-11-12,3.2,3.2,3.2,3.2,0.0,0.0
2013-11-13,5.0,5.0,3.2,3.2,225.75,1128.77
2013-11-14,3.0,5.0,3.0,5.0,12.0,38.0
2013-11-15,5.0,5.0,3.0,3.0,10.06,50.3
2013-11-16,4.25,5.0,4.25,5.0,5.067,21.54
2013-11-17,4.25,4.25,4.25,4.25,0.0,0.0
2013-11-18,5.0,5.0,4.25,4.25,5.0,25.0
2013-11-19,9.0,10.0,5.0,5.0,29.14,272.36
2013-11-20,9.0,9.0,9.0,9.0,2.473,22.26
2013-11-21,9.0,9.0,9.0,9.0,94.53,850.74
2013-11-22,10.0,11.0,9.0,9.0,63.81,658.15
2013-11-23,12.8,14.5,10.0,10.0,2577.36,32377.01
2013-11-24,10.0,13.8,10.0,12.8,7.616,96.56
2013-11-25,12.0,14.0,10.0,10.0,183.41,2328.81
2013-11-26,20.5,20.5,11.0,12.0,504.89,7634.59
2013-11-27,35.99,50.0,20.5,20.5,457.22,14864.46
2013-11-28,46.1,65.0,35.99,35.99,242.02,13001.19
2013-11-29,41.0,50.0,30.2,46.1,292.59,11730.18
2013-11-30,41.0,48.0,38.0,41.0,148.71,6048.13
2013-12-01,35.3,41.21,24.48,41.0,50.11,1676.31
2013-12-02,33.51,40.5,29.8,35.3,103.24,3620.97
2013-12-03,33.0,36.4,32.0,33.51,208.13,7169.14
2013-12-04,32.2,43.0,31.0,33.0,571.7,20974.84
2013-12-05,38.0,42.99,29.0,32.2,700.64,24291.88
2013-12-06,32.0,39.2,32.0,38.0,200.96,7020.76
2013-12-07,22.78,32.0,11.0,32.0,334.46,7637.81
2013-12-08,27.93,28.4,22.78,22.78,77.34,2092.79
2013-12-09,31.98,32.59,27.0,27.93,116.9,3602.87
