time,high,low,open,volumefrom,volumeto,close
2013-11-08,2.84,0.5584,0.4871,2.5,7.1,2.84
2013-11-09,2.942,2.942,2.84,0.0,0.0,2.942
2013-11-10,2.691,2.691,2.942,0.0,0.0,2.691
2013-11-11,2.904,2.904,2.691,0.0,0.0,2.904
2013-11-12,3.04,3.04,2.904,0.0,0.0,3.04
2013-11-13,3.479,3.479,3.04,0.0,0.0,3.479
2013-11-14,3.467,1.445,3.479,27.0,39.02,1.445
2013-11-15,1.446,1.446,1.445,0.0,0.0,1.446
2013-11-16,1.54,1.54,1.446,0.0,0.0,1.54
2013-11-17,1.761,1.761,1.54,0.0,0.0,1.761
2013-11-18,2.618,0.4364,1.761,379.24,165.5,0.4364
2013-11-19,3.228,0.3587,0.4364,27.17,87.7,3.228
2013-11-20,3.19,2.542,3.228,5.02,12.76,2.542
2013-11-21,3.06,3.047,2.542,7.5,22.95,3.06
2013-11-22,4.177,3.208,3.06,174.83,730.26,4.177
2013-11-23,4.336,3.784,4.177,9.9,37.46,3.784
2013-11-24,3.786,1.988,3.784,13.87,52.51,3.786
2013-11-25,3.952,3.459,3.786,100.74,348.46,3.459
2013-11-26,9.7,4.042,3.459,802.77,6229.5,7.76
2013-11-27,12.0,6.749,7.76,665.75,7190.1,10.8
2013-11-28,44.23,8.158,10.8,806.5,16759.07,20.78
2013-11-29,22.77,6.332,20.78,496.53,7045.76,14.19
2013-11-30,14.71,8.425,14.19,186.14,2492.41,13.39
2013-12-01,11.16,7.726,13.39,352.45,3470.58,9.847
2013-12-02,10.75,8.122,9.847,311.4,2529.19,8.122
2013-12-03,11.51,8.554,8.122,59.99,629.9,10.5
2013-12-04,12.34,9.669,10.5,507.38,5982.01,11.79
2013-12-05,10.85,8.835,11.79,231.83,2466.67,10.64
2013-12-06,8.125,6.602,10.64,968.04,6402.62,6.614
2013-12-07,13.94,5.167,6.614,701.1,3674.47,5.241
2013-12-08,6.184,5.743,5.241,45.56,281.74,6.184
2013-12-09,7.888,6.564,6.184,2527.75,18217.49,7.207
2013-12-10,8.614,7.773,7.207,6442.73,50079.34,7.773
2013-12-11,7.965,6.917,7.773,51688.37,357528.46,6.917
2013-12-12,7.258,6.717,6.917,161760.78,1102885.0,6.818
2013-12-13,7.494,6.691,6.818,67070.91,448771.46,6.691
2013-12-14,6.733,6.06,6.691,24039.34,145678.4,6.06
2013-12-15,6.714,6.133,6.06,3245.1,21323.55,6.571
2013-12-16,5.428,4.75,6.571,11006.43,52280.54,4.75
2013-12-17,4.931,3.575,4.75,4702.68,23029.02,4.897
2013-12-18,3.718,2.533,4.897,98961.52,367938.93,3.718
2013-12-19,6.588,4.224,3.718,88225.48,581229.46,6.588
2013-12-20,5.85,4.244,6.588,13850.5,63712.3,4.6
2013-12-21,4.533,4.269,4.6,14036.82,59923.18,4.269
2013-12-22,4.472,4.099,4.269,14789.63,63048.19,4.263
2013-12-23,4.755,4.602,4.263,590.08,2715.55,4.602
2013-12-24,4.59,4.448,4.602,172.08,786.06,4.568
