time,high,low,open,volumefrom,volumeto,close
2014-04-24,0.1106,0.1051,0.1024,0.2238,0.02475,0.1106
2014-04-25,0.1027,0.09016,0.1106,0.4921,0.0496,0.1008
2014-04-26,0.09936,0.0706,0.1008,0.04408,0.003112,0.0706
2014-04-27,0.06834,0.06834,0.0706,0.0,0.0,0.06834
2014-04-28,0.06814,0.06814,0.06834,0.1017,0.00693,0.06814
2014-04-29,0.06879,0.06879,0.06814,0.0,0.0,0.06879
2014-04-30,0.06872,0.06872,0.06879,0.0,0.0,0.06872
2014-05-01,0.07095,0.07077,0.06872,185.49,13.13,0.07077
2014-05-02,0.06977,0.06977,0.07077,0.0,0.0,0.06977
2014-05-03,0.06746,0.06746,0.06977,0.0,0.0,0.06746
2014-05-04,0.06706,0.06706,0.06746,0.0,0.0,0.06706
2014-05-05,0.06627,0.06627,0.06706,0.0,0.0,0.06627
2014-05-06,0.06647,0.06647,0.06627,0.0,0.0,0.06647
2014-05-07,0.06868,0.06868,0.06647,0.0,0.0,0.06868
2014-05-08,0.06784,0.06784,0.06868,0.0,0.0,0.06784
2014-05-09,0.06851,0.06851,0.06784,0.0,0.0,0.06851
2014-05-10,0.0695,0.0695,0.06851,0.0,0.0,0.0695
2014-05-11,0.06663,0.06663,0.0695,0.0,0.0,0.06663
2014-05-12,0.0674,0.0674,0.06663,0.0,0.0,0.0674
2014-05-13,0.06674,0.06552,0.0674,4.99,0.3269,0.06552
2014-05-14,0.06684,0.06684,0.06552,0.0,0.0,0.06684
2014-05-15,0.06766,0.06766,0.06684,0.0,0.0,0.06766
2014-05-16,0.0685,0.0685,0.06766,0.0,0.0,0.0685
2014-05-17,0.06837,0.06837,0.0685,0.0,0.0,0.06837
2014-05-18,0.06797,0.06797,0.06837,0.0,0.0,0.06797
2014-05-19,0.06703,0.06703,0.06797,0.0,0.0,0.06703
2014-05-20,0.07317,0.07317,0.06703,0.0,0.0,0.07317
2014-05-21,0.07381,0.07381,0.07317,0.0,0.0,0.07381
2014-05-22,0.07782,0.0773,0.07381,80.26,6.204,0.0773
2014-05-23,0.07771,0.07771,0.0773,49.57,3.852,0.07771
2014-05-24,0.07807,0.07807,0.07771,1.882,0.1469,0.07807
2014-05-25,0.08557,0.08557,0.07807,0.0,0.0,0.08557
2014-05-26,0.0873,0.0873,0.08557,0.0,0.0,0.0873
2014-05-27,0.08551,0.08551,0.0873,0.0,0.0,0.08551
2014-05-28,0.08563,0.08563,0.08551,0.0,0.0,0.08563
2014-05-29,0.08466,0.08466,0.08563,0.0,0.0,0.08466
2014-05-30,0.09185,0.09185,0.08466,0.0,0.0,0.09185
2014-05-31,0.09419,0.09419,0.09185,0.0,0.0,0.09419
2014-06-01,0.09747,0.09747,0.09419,0.0,0.0,0.09747
2014-06-02,0.09832,0.02993,0.09747,119.81,3.586,0.02993
2014-06-03,0.03057,0.03057,0.02993,0.0,0.0,0.03057
2014-06-04,0.02917,0.02917,0.03057,0.0,0.0,0.02917
2014-06-05,0.03014,0.03014,0.02917,0.1752,0.005281,0.03014
2014-06-06,0.0297,0.0297,0.03014,0.0,0.0,0.0297
2014-06-07,0.02976,0.02976,0.0297,0.0,0.0,0.02976
2014-06-08,0.02973,0.02973,0.02976,0.0,0.0,0.02973
2014-06-09,0.02942,0.02942,0.02973,0.0,0.0,0.02942
2014-06-10,0.02994,0.02994,0.02942,0.0,0.0,0.02994
